semestre_plan	codigo	nombre_plan	sede	grupo	tipo	modalidad	periodo	creditos_guia	horas_guia	profesor	horario_original	archivo_fuente
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	25	Regular	SEMESTRE	1	1	2	MASIS MELENDEZ FEDERICO	MIE[15:00-16:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	3	Regular	SEMESTRE	1	1	2	MATA MATA ALEJANDRA	MAR[07:30-09:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	32	Regular	SEMESTRE	1	1	2	MATA MATA ALEJANDRA	JUE[07:30-09:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	35	Regular	SEMESTRE	1	1	2	MATA MATA ALEJANDRA	JUE[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	2	Regular	SEMESTRE	1	1	2	MORA MOLINA JESUS	MAR[07:30-09:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	5	Regular	SEMESTRE	1	1	2	MORA MOLINA JESUS	MAR[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	8	Regular	SEMESTRE	1	1	2	MORA MOLINA JESUS	MAR[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	12	Regular	SEMESTRE	1	1	2	MORA MOLINA JESUS	MAR[15:00-16:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	14	Regular	SEMESTRE	1	1	2	MORA MOLINA JESUS	MAR[17:00-18:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	16	Regular	SEMESTRE	1	1	2	MORA MOLINA JESUS	MIE[07:30-09:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	28	Regular	SEMESTRE	1	1	2	MORA MOLINA JESUS	MIE[17:00-18:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	6	Regular	SEMESTRE	1	1	2	PORRAS ACOSTA MARIA	MAR[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	48	Regular	SEMESTRE	1	1	2	QUIROS BUSTOS NOEMI	VIE[07:30-09:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	71	Regular	SEMESTRE	1	1	2	QUIROS BUSTOS NOEMI	VIE[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	73	Regular	SEMESTRE	1	1	2	QUIROS BUSTOS NOEMI	VIE[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	76	Regular	SEMESTRE	1	1	2	QUIROS BUSTOS NOEMI	VIE[15:00-16:50]	Guia de Horario de la Escuela QU.mhtml
