carrera	semestre	codigo	nombre	creditos	requisitos	correquisitos	grupo	dia	inicio	fin
Computadores	1	QU1106	química básica i	3	-	QU1102	16	MIE	07:30	09:20
Computadores	1	QU1106	química básica i	3	-	QU1102	16	VIE	07:30	09:20
Computadores	1	QU1106	química básica i	3	-	QU1102	19	MIE	09:30	11:20
Computadores	1	QU1106	química básica i	3	-	QU1102	19	VIE	09:30	11:20
Computadores	1	QU1106	química básica i	3	-	QU1102	21	MIE	13:00	14:50
Computadores	1	QU1106	química básica i	3	-	QU1102	21	VIE	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	31	JUE	07:30	09:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	36	JUE	09:30	11:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	1	MAR	07:30	09:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	77	VIE	15:00	16:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	19	MIE	09:30	11:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	11	MAR	15:00	16:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	13	MAR	17:00	18:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	40	JUE	15:00	16:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	43	JUE	17:00	18:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	20	MIE	09:30	11:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	25	MIE	15:00	16:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	3	MAR	07:30	09:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	32	JUE	07:30	09:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	35	JUE	09:30	11:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	2	MAR	07:30	09:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	5	MAR	09:30	11:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	8	MAR	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	12	MAR	15:00	16:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	14	MAR	17:00	18:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	16	MIE	07:30	09:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	28	MIE	17:00	18:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	6	MAR	09:30	11:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	48	VIE	07:30	09:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	71	VIE	09:30	11:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	73	VIE	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	76	VIE	15:00	16:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	38	JUE	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	41	JUE	15:00	16:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	22	MIE	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	9	MAR	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	10	MAR	15:00	16:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	24	MIE	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	27	MIE	15:00	16:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	4	MAR	09:30	11:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	7	MAR	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	18	MIE	07:30	09:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	21	MIE	09:30	11:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	17	MIE	07:30	09:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	23	MIE	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	75	VIE	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	72	VIE	09:30	11:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	34	JUE	09:30	11:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	39	JUE	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	42	JUE	15:00	16:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	46	VIE	07:30	09:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	49	VIE	09:30	11:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	74	VIE	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	33	JUE	07:30	09:20
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	37	JUE	13:00	14:50
Computadores	1	QU1102	laboratorio de química básica i	1	-	QU1106	45	JUE	17:00	18:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	4	MAR	09:30	12:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	4	JUE	10:30	12:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	20	SAB	07:30	12:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	8	MAR	17:00	19:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	8	JUE	17:00	18:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	21	MIE	17:00	19:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	21	VIE	17:00	18:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	11	MIE	07:30	10:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	11	VIE	07:30	09:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	10	MIE	07:30	09:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	10	VIE	07:30	10:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	18	MIE	17:00	19:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	18	VIE	17:00	18:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	5	MAR	13:00	15:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	5	JUE	13:00	14:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	6	MAR	15:00	16:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	6	JUE	15:00	17:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	9	MAR	18:00	20:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	9	JUE	18:00	19:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	13	MIE	09:30	12:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	13	VIE	10:30	12:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	16	MIE	15:00	17:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	16	VIE	15:00	16:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	2	MAR	07:30	09:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	2	JUE	07:30	10:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	3	MAR	09:30	11:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	3	JUE	09:30	12:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	7	MAR	16:00	18:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	7	JUE	16:00	17:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	15	MIE	13:00	15:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	15	VIE	13:00	14:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	1	MAR	07:30	10:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	1	JUE	07:30	09:20
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	17	MIE	16:00	18:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	17	VIE	16:00	17:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	14	MIE	13:00	15:50
Computadores	1	MA1102	cálculo diferencial e integral	4	MA0101	-	14	VIE	13:00	14:50
Computadores	1	MA0101	matemática general	2	-	-	20	MAR	17:00	19:50
Computadores	1	MA0101	matemática general	2	-	-	20	JUE	17:00	18:50
Computadores	1	MA0101	matemática general	2	-	-	32	MIE	17:00	19:50
Computadores	1	MA0101	matemática general	2	-	-	32	VIE	17:00	18:50
